school_name,city,state,zip_code,latitude,longitude,endowment_begin,endowment_end,endowment_diff
Brewton-Parker College,Mount Vernon,GA,30445,32.185718,-82.586136,8818597,7928344,-890253
College of Coastal Georgia,Brunswick,GA,31520-3644,31.181983,-81.486169,10583326,11706195,1122869
Clayton  State University,Morrow,GA,30260-0285,33.594079,-84.328174,19068017,17554648,-1513369
Columbia Theological Seminary,Decatur,GA,30030-4118,33.764292,-84.281695,283181196,262315196,-20866000
Columbus State University,Columbus,GA,31907-5645,32.50096,-84.94106,93388136,83722548,-9665588
Covenant College,Lookout Mountain,GA,30750-4164,34.965161,-85.375066,58567097,53641234,-4925863
Dalton State College,Dalton,GA,30720-3797,34.774221,-85.002775,18074500,19963771,1889271
East Georgia State College,Swainsboro,GA,30401,32.594944,-82.309021,405253,357523,-47730
Emmanuel College,Franklin Springs,GA,30639,34.283641,-83.14822,1806609,2015316,208707
Emory University,Atlanta,GA,30322,33.790183,-84.325512,12218692520,11155404520,-1063288000
Georgia Highlands College,Rome,GA,30161-3897,34.169791,-85.207356,2662232,2475595,-186637
Fort Valley State University,Fort Valley,GA,31030-4313,32.537595,-83.89537,13000000,13200000,200000
Georgia Institute of Technology-Main Campus,Atlanta,GA,30332-0530,33.77242,-84.394832,2971501257,2927741911,-43759346
Georgia Southwestern State University,Americus,GA,31709-4693,32.054662,-84.217738,42214736,35924941,-6289795
Georgia College & State University,Milledgeville,GA,31061,33.082787,-83.231962,65814122,57612368,-8201754
Georgia Southern University,Statesboro,GA,30460-8126,32.426153,-81.784045,101163961,98401763,-2762198
Georgia State University,Atlanta,GA,30303-3083,33.7527,-84.38667,241254286,219510836,-21743450
University of Georgia,Athens,GA,30602,33.956262,-83.374039,1818866444,1685035351,-133831093
Gordon State College,Barnesville,GA,30204,33.04571,-84.154508,4933982,4249951,-684031
Interdenominational Theological Center,Atlanta,GA,30314-4143,33.752338,-84.409207,5995013,5737953,-257060
LaGrange College,Lagrange,GA,30240-2999,33.038564,-85.043113,61084679,54064652,-7020027
Life University,Marietta,GA,30060,33.932781,-84.514729,3356258,3477455,121197
Mercer University,Macon,GA,31207,32.829134,-83.649392,475458642,452556294,-22902348
Morehouse College,Atlanta,GA,30314,33.745982,-84.414917,278037237,246017759,-32019478
Morehouse School of Medicine,Atlanta,GA,30310,33.742888,-84.41186,122808596,117085940,-5722656
Morris Brown College,Atlanta,GA,30314-4140,33.753707,-84.407668,213950,342181,128231
Oglethorpe University,Atlanta,GA,30319-2797,33.875441,-84.333687,46136756,41533040,-4603716
Paine College,Augusta,GA,30901-3182,33.469545,-81.993225,13814535,12042232,-1772303
Piedmont University,Demorest,GA,30535-0010,34.566042,-83.542126,54955833,43570462,-11385371
Reinhardt University,Waleska,GA,30183-2981,34.319756,-84.554264,46691079,42400131,-4290948
Savannah College of Art and Design,Savannah,GA,31402-3146,32.072964,-81.09395,258231000,255300000,-2931000
Savannah State University,Savannah,GA,31404-5310,32.024781,-81.063377,13133522,11964916,-1168606
